order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
251022DC343D70	7976742d-c665-452b-bd85-a14b06047fe2	ab29013c-5d68-432a-b480-09ddf1690352	2fb8abb5-86e1-4aa4-9750-b06046e78707	스키주 마그넷 플러시 세트 도미 팝업 스키즈	スキー動物園マグネットぬいぐるみセットドーミーポップアップスキー	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"価格には手数料が含まれています 
💙
 店舗紹介をお読みください 
💙
 未開封1個につき3個。4 ⭕️ ウォルフチャン・リビット、コリアン・クオッカ・バブル・フォクニー、お支払い時にご希望のMD電話をかけるか、リクエストを書き留めてください! ❗️ 何も言わずに支払いをすると、支払いはキャンセルされます❗️

수수료 포함 가격입니다 💙
상점소개 필독해주세요 💙

미개봉 개당 3.4

⭕️ 울프찬 리빗 한쿼카 뽁아리 폭시니

원하시는 엠디 번톡 주시거나
결제하실때 요청사항 적어주세요!
❗️아무말 없이 결제하시면 결제 취소합니다❗️"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/2fb8abb5-86e1-4aa4-9750-b06046e78707.jpg	1	34000.0	3667.0	https://m.bunjang.co.kr/products/363060351	0.33	31.0x8.0x21.0	31.0	8.0	21.0	31.0	21.0	8.0	0.005208	5208.0	5.208	0.868	0.5	20.0	25.0	15.0	25.0	20.0	15.0	0.0075	7500.0	7.5			0.515151515151515	0.4400921658986175	-0.1935483870967742	-0.0476190476190476	0.875	0.2112775217613927	2025-10-27 12:54:34	2025-10-31 08:00:18.359	0-0.5kg
25090612A6BD63	d03a6a4c-3632-4244-b632-845a3a4dbee4	963cb084-edb0-4aff-8e34-0a1fa8ba12b7	7ffd338e-c34e-40fe-861b-48ca175d7b8a	방탄소년단 x 스타벅스 곰돌이 무드등	BTS x スターバックスウィニーザプームードライト	스타굿즈 > 보이그룹 > 인형/피규어 > 	flashlight	bungae		"
💙
 これはコラボレーションの時に開封してガラス管に保管しただけの商品です。 
💙
 パープルクマのルミネッセンスは弱いです 
💙
 商品に欠陥はありませんが、ご連絡いただければお見せできます 
💙
まとめて転送したい ( 個別でも結構です! ) 
💙
 ご購入前にご相談ください 
📌
 単純な反省による交換、 払い戻しはできません

💙 콜라보한 당시 단순개봉 후 유리관에 보관해둔 제품입니다

💙 보라색 옷 곰돌이의 발광력이 약합니다

💙 제품에 하자는 없지만 번톡주시면 보여드릴 수 있습니다

💙일괄로 양도 희망합니다 ( 개별도 괜찮습니다! )

💙 구매 전 번톡 부탁드립니다

📌 단순 변심으로 인한 교환, 환불 불가능합니다"			8513109090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/7ffd338e-c34e-40fe-861b-48ca175d7b8a.jpg	2	2590.0	282.0	https://m.bunjang.co.kr/products/351389689	0.155	17.0x12.0x13.0	17.0	12.0	13.0	17.0	13.0	12.0	0.002652	2652.0	2.6519999999999997	0.442	0.2	8.0	8.0	10.0	10.0	8.0	8.0	0.00064	640.0	0.64			0.2903225806451613	-0.7586726998491704	-0.4117647058823529	-0.3846153846153846	-0.3333333333333333	-0.3765711412770236	2025-09-10 14:33:40	2025-09-14 11:00:16.757	0-0.5kg
2505231BFB22E7	d0c58cf7-2230-47d6-aeda-79080e04b62c	3f45464c-faa5-4cfd-9b2c-6d7e730eae6c	fed0a4f7-dbe7-4545-af35-6d3192ba63fc	냥고니 지드래곤 지디 인형 빅뱅 비공굿	ニャンゴニージドラゴンジディ人形ビッグバンビゴングッド	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae					9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/fed0a4f7-dbe7-4545-af35-6d3192ba63fc.jpg	1	20000.0	2053.0	https://m.bunjang.co.kr/products/334995297?q=%EC%A7%80%EB%94%94&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC	0.12	21.0x13.0x7.0	21.0	13.0	7.0	21.0	13.0	7.0	0.001911	1911.0	1.911	0.319	0.3	10.0	10.0	15.0	15.0	10.0	10.0	0.0015	1500.0	1.5			1.5	-0.2150706436420722	-0.2857142857142857	-0.2307692307692307	0.4285714285714285	-0.0293040293040292	2025-06-03 13:57:57	2025-07-16 05:00:18.689	0-0.5kg
250524D439A2C5	c7e9f985-f9ba-4254-8c7e-1cda50a66c49	1164e73c-333f-492e-a3c6-662a9d862b79	9d4a6629-a4f8-4d4a-915c-1e08c8ddccc5	미니위츄	ミニウィチュ	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"エンシティウィッシュ展示グッズ

엔시티 위시 전시회 굿즈"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/9d4a6629-a4f8-4d4a-915c-1e08c8ddccc5.jpg	1	56000.0	5746.0	https://m.bunjang.co.kr/products/335365759?q=%EB%AF%B8%EB%8B%88%EC%9C%84%EC%B8%84&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC	0.28	25.1x18.9x6.1	25.1	18.9	6.1	25.1	18.9	6.1	0.0028937789999999	2893.7789999999995	2.893778999999999	0.482	0.3	10.0	15.0	10.0	15.0	10.0	10.0	0.0015	1500.0	1.5			0.0714285714285712	-0.4816466634114076	-0.402390438247012	-0.4708994708994709	0.639344262295082	-0.0779818822838002	2025-05-30 17:27:29	2025-06-03 08:01:10.509	0-0.5kg
25052340E74193	5c9a7e8f-0681-4fec-9698-562d29f4baae	1825bdb6-9337-4f0f-9f6c-052df8609efa	674146d5-46cb-49d0-9421-2cb9860108f4	스트레이키즈 스키주 10cm	ストレイキッズスキージュ10cm	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"スキージュ10cm未開封新商品ですショップ紹介 読んでチャット歩いてください 1個あたり2。9です （合計合計3セットあります) ウルフチャン、 リビット、 ジニレット、 ハンコッカ、 ポアリ、 パピム、 フォクシーニ （豚 ❌️) 4個以上ご購入の際に送料が負担します 店内で合配送可能です☺️

스키주 10cm 미개봉 새상품입니다
상점 소개 읽고 챗 걸어주세요
개당 2.9 입니다 
(전체 총 3세트 있습니다)

울프찬, 리빗, 지니렛, 
한쿼카, 뽁아리, 퍼핌, 폭시니
(돼끼 ❌️)

4개 이상 구매시 배송비 제가 부담합니다
상점 내 합배송 가능합니다☺️"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/674146d5-46cb-49d0-9421-2cb9860108f4.jpg	1	29000.0	2976.0	https://m.bunjang.co.kr/products/333421520	0.11	20.3x14.3x7.3	20.3	14.3	7.3	20.3	14.3	7.3	0.002119117	2119.117	2.119117	0.353	0.2	10.0	10.0	10.0	10.0	10.0	10.0	0.001	1000.0	1.0			0.8181818181818182	-0.5281053382139825	-0.5073891625615764	-0.3006993006993007	0.3698630136986301	-0.1460751498540823	2025-05-30 17:27:29	2025-06-04 14:02:05.000	0-0.5kg
250515A11A32B8	cc9dd1c1-bfc0-4298-9a07-82a93ee66b1f	d7ba6ba6-450b-45ef-a89e-4652e8091259	d142e1bb-c9ed-4e74-8497-b0978635c136	몬뭉치엑스 냥균 미니미니 냥균 키링	モンムチエックスニャンギュンミニミニニャンギュンキーリング	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"ミニミニニャンギュン ❌ ニャンギュンキーリングは10、000ウォンです！ 最愛のことを教えてください。、、🫶

미니미니 냥균 ❌
냥균 키링은 10,000원 입니다!

최애 말씀해주시면 덤 많이 드려요,,🫶"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/d142e1bb-c9ed-4e74-8497-b0978635c136.jpg	1	10000.0	1027.0	https://m.bunjang.co.kr/products/328419739	0.075	14.5x10.0x7.0	14.5	10.0	7.0	14.5	10.0	7.0	0.001015	1015.0	1.015	0.169	0.1	4.0	4.0	4.0	4.0	4.0	4.0	6.4e-05	64.0	0.064			0.3333333333333335	-0.9369458128078818	-0.7241379310344828	-0.6	-0.4285714285714285	-0.5842364532019705	2025-05-30 10:30:27	2025-06-03 05:02:15.310	0-0.5kg
2505237B941C45	2c2cd4b6-0ed3-4155-a810-d9599c00f75e	86a0bdf3-b4d0-49f1-9c57-47e1a73ced89	1ec81cc8-c5c1-4dc7-b6c2-96735872cd9b	세븐틴 정한 쫑티쥬 인형 양도합니다	セブンティーン定めたチュチジュ人形譲渡します	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"セブンティーンジュンティジュ 定められた返品費込み10cm

세븐틴 쫑티쥬 정한 반택비 포함 10cm"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/1ec81cc8-c5c1-4dc7-b6c2-96735872cd9b.jpg	1	18000.0	1847.0	https://m.bunjang.co.kr/products/332997593	0.12	16.0x11.0x10.0	16.0	11.0	10.0	16.0	11.0	10.0	0.00176	1760.0	1.76	0.293	0.4	15.0	20.0	15.0	20.0	15.0	15.0	0.0045	4500.0	4.5			2.3333333333333335	1.556818181818182	0.25	0.3636363636363636	0.5	0.3712121212121212	2025-05-29 14:06:06	2025-05-31 14:01:26.753	0-0.5kg
250520AD5F9D15	c18ccc53-8578-40b3-a168-b35c1d5a7e85	548522b0-a121-4972-b717-51ebd66c6de5	23dab8ac-a237-43cf-9478-3b7a3f29c85f	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	デイシックスアンコンMDデニマルズフェイスシークレットキーリング	스타굿즈 > 보이그룹 > 인형/피규어 > 	Key ring	bungae		"- 店舗紹介一度お読みください- 性質上、公正であるかもしれません。 敏感な人は避けてください- 安全購入前にお願いします- 簡単な変更交換/払い戻し/返品/予約不可ランダム欠陥確認車開封確認後ビニールに入れた商品です

- 상점소개 한번 읽어주세요
- 특성상 공정하자 있을수 있습니다. 예민하신분은 피해주세요
- 안전구매 전 챗 바랍니다
- 단순변심 교환/환불/반품/예약 불가

랜덤 하자확인차 개봉확인 후 비닐에 넣어놓은 제품입니다"			7326909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/23dab8ac-a237-43cf-9478-3b7a3f29c85f.jpg	2	21000.0	2155.0	https://m.bunjang.co.kr/products/334451312	0.11	15.0x12.0x8.0	15.0	12.0	8.0	15.0	12.0	8.0	0.00144	1440.0	1.4400000000000002	0.24	0.1	7.0	5.0	7.0	7.0	7.0	5.0	0.000245	245.0	0.245			-0.0909090909090908	-0.8298611111111112	-0.5333333333333333	-0.4166666666666667	-0.375	-0.4416666666666666	2025-05-27 12:50:01	2025-05-29 08:02:22.035	0-0.5kg
250522EC5B31F5	b5ff4d7b-9bee-49b6-ab7c-61317738c21d	19a178e3-a611-42bd-9df2-c1b714dc8bf9	c0fb9eac-d165-475e-8b3b-188799c838e7	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	未開封)ガニーニ gunini 王子人形 キーリング 譲渡 zb1 ゼロニー zeroni	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"ZEROBASEONE ゼロニープリンス人形 キーリング パク・ガンウク PARKGUNWOOK パク・ゴンク（返品) できません。
🥹
 購入に注意してください（状態認証・当日発送) 平日の昼12時以前の購入時の当日郵便局の宿泊が可能❣ It will be shipped today by courier。 店舗紹介記事必読・安全決済でのみ購入
❣

ZEROBASEONE 제로니 프린스 인형 키링
박건욱 PARKGUNWOOK 朴乾旭 パクゴヌク
미개봉 상품으로 환불(반품) 불가하니 🥹
구매에 신중해주세요(상태인증ㆍ당일발송)
평일 낮12시 이전 구매시 당일 우체국 일택가능❣
It will be shipped today by courier.

상점 소개글 필독ㆍ 안전결제로만 구매❣"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c0fb9eac-d165-475e-8b3b-188799c838e7.jpg	3	36000.0	3694.0	https://m.bunjang.co.kr/products/334759929	0.125	19.0x12.0x9.0	19.0	12.0	9.0	19.0	12.0	9.0	0.002052	2052.0	2.052	0.342	0.1	4.0	4.0	8.0	8.0	4.0	4.0	0.000128	128.0	0.128			-0.1999999999999999	-0.9376218323586744	-0.5789473684210527	-0.6666666666666666	-0.5555555555555556	-0.6003898635477583	2025-05-27 12:50:01	2025-05-29 08:02:12.843	0-0.5kg
250522CBF3A7C9	5f53ffec-917c-4902-92c9-187ef177db73	3530bba0-1ede-493c-a2d6-45cf650890b5	7f739e47-2822-4b6d-b8fb-d217158da1e8	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	未開封)ユニニーyunini王子人形キーリング譲渡zb1ゼロニーzeroni	스타굿즈 > 보이그룹 > 인형/피규어 > 	Doll	bungae		"ZEROBASEONE ゼロニープリンス人形 キーリング ハン・ユジン HANYUJIN 韓ユジン 韓維辰 未開封商品に返金（返品) できませんので購入に注意してください。
🥹
 
（
状態認証要求時に認証・当日発送) It will be shipped today by courier。 ❣店舗紹介記事必読・安全決済
❣

ZEROBASEONE 제로니 프린스 인형 키링
한유진 HANYUJIN  ハンユジン 韓維辰
미개봉 상품으로 환불(반품) 불가하니 
구매에 신중해주세요.🥹
(상태인증요청시 인증ㆍ당일발송)
It will be shipped today by courier.
❣상점 소개글 필독ㆍ안전결제❣"			9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/7f739e47-2822-4b6d-b8fb-d217158da1e8.jpg	3	36000.0	3694.0	https://m.bunjang.co.kr/products/334751809	0.125	19.0x12.0x9.0	19.0	12.0	9.0	19.0	12.0	9.0	0.002052	2052.0	2.052	0.342	0.1	5.0	5.0	10.0	10.0	5.0	5.0	0.00025	250.0	0.25			-0.1999999999999999	-0.878167641325536	-0.4736842105263157	-0.5833333333333334	-0.4444444444444444	-0.5004873294346979	2025-05-27 12:50:01	2025-05-30 14:01:45.018	0-0.5kg
