order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
2505244146A327	e4c51ef3-453a-42b6-bc22-08252203a025	6835d989-1ac3-426e-8469-83dc8019471e	73f6c4c1-c65e-4308-8b12-b6879620b772	(미개봉) 니케 디저트39 신데렐라 무드등 동D 포토카드	（未開封) ニケデザート39シンデレラムードなどドンDフォトカード	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	fluorescent lamp	bungae					8539310000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/73f6c4c1-c65e-4308-8b12-b6879620b772.jpg	1	33000.0	3386.0	https://m.bunjang.co.kr/products/335026203	0.4	25.9x19.8x10.5	25.9	19.8	10.5	25.9	19.8	10.5	0.00538461	5384.61	5.3846099999999995	0.897	0.1	12.0	1.0	8.0	12.0	8.0	1.0	9.6e-05	96.0	0.096			-0.7500000000000001	-0.9821714107428392	-0.5366795366795366	-0.595959595959596	-0.9047619047619048	-0.6791336791336792	2025-06-03 13:57:57	2025-07-10 02:15:27.688	0-0.5kg
250529C04B62C4	ad292b89-7b17-44ca-b46a-cd41cb12d462	a3f8715c-6c1d-4f0c-a296-95e8ae73aad0	88c04b64-4c32-49c3-93f2-a522a30d8389	이착헌 이세계착각헌터 정하성 멍하성 헌터증 아크릴스탠드 일괄 판매	イ・ヒョンホン異世界錯覚ハンターチョン・ハソン	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Acrylic	bungae					5509311000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/88c04b64-4c32-49c3-93f2-a522a30d8389.jpg	1	121240.0	12440.0	https://m.bunjang.co.kr/products/333278083	0.38	28.5x17.3x11.3	28.5	17.3	11.3	28.5	17.3	11.3	0.005571465	5571.465	5.571465	0.929	0.3	10.0	5.0	15.0	15.0	10.0	5.0	0.00075	750.0	0.75			-0.2105263157894737	-0.8653854955563752	-0.4736842105263157	-0.4219653179190751	-0.5575221238938053	-0.4843905507797321	2025-06-03 13:57:57	2025-07-25 05:00:50.935	0-0.5kg
250525AC4A552E	1f0bc909-6327-4ec6-ad32-ac67df6edf3c	1bed5724-5bf0-4027-8408-f809a62d9d98	4fc11709-3a81-409b-8a4a-a5751762d505	[미개봉] 40cm 앙스타인형 카제하야 타츠미 앙스타 누이 타츠미 파샤	[未開封] 40cmアンスター人形カゼハヤタツミアンスターヌイタツミパシャ	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Doll	bungae					9503003411	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/4fc11709-3a81-409b-8a4a-a5751762d505.jpg	1	35000.0	3592.0	https://m.bunjang.co.kr/products/333448463?ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC	1.46	51.1x28.5x22.5	51.1	28.5	22.5	51.1	28.5	22.5	0.032767875	32767.875000000004	32.767875000000004	5.461	0.8	20.0	30.0	20.0	30.0	20.0	20.0	0.012	12000.0	12.0			-0.4520547945205479	-0.633787665510809	-0.4129158512720157	-0.2982456140350877	-0.1111111111111111	-0.2740908588060715	2025-06-03 13:57:57	2025-07-03 14:00:15.606	1-2kg
250519565F3BDC	844ef2ac-3ef1-4d42-8135-cd028ec7ac87	9028ed72-cb5b-4cc5-bc2e-1d34f0c99db4	fa65acca-e429-48f7-9c0d-00d2dde7b50a	에이스테 에일리언 스테이지 루카 토끼 아크릴 이반 틸 미지 수아 루카	エステ エイリアン ステージ ルカ ウサギ アクリル イバンチル 未知 スア ルカ	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Toy	bungae		"開封してフィルム時は保管のみしておきました！ 返信 / 挿入0。2 お支払い前にお気軽にご連絡ください！

개봉하고 필름 땐 상태로 보관만 해두었습니다!
반택 / 끼택 0.2
결제하시기전에 편하게 연락 주세요!"			9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/fa65acca-e429-48f7-9c0d-00d2dde7b50a.jpg	1	15000.0	1540.0	https://m.bunjang.co.kr/products/334131517	0.16	19.5x16.2x12.3	19.5	16.2	12.3	19.5	16.2	12.3	0.00388557	3885.57	3.88557	0.648	0.3	10.0	10.0	15.0	15.0	10.0	10.0	0.0015	1500.0	1.5			0.8749999999999999	-0.6139562535226492	-0.2307692307692307	-0.382716049382716	-0.1869918699186992	-0.2668257166902153	2025-05-23 17:57:03	2025-05-27 05:04:12.552	0-0.5kg
250521EE7ADD74	91a82ad6-c554-4637-b8f5-4b05179db63c	b304d42e-913e-4089-8d0a-e517784a9db3	38e5b102-9c24-4c7f-8b27-49729f1cdc00	맘스터치 스타레일 트리비 아글라이아 코롯토	マムスタッチスターレールトリビアグライアコロット	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Printed matter	bungae		"左アグライアコロット1未開封右トリビコロット1未開封ポカ1 => 合計17000ウォンで販売します！ すぐに安全決済をお願いします

좌측 아글라이아 코롯토1 미개봉
우측 트리비 코롯토1 미개봉
포카1
=> 총 17000원에 판매합니다!

바로 안전결제 부탁드립니다"			4911990000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/38e5b102-9c24-4c7f-8b27-49729f1cdc00.jpg	1	17000.0	1745.0	https://m.bunjang.co.kr/products/334336678	0.305	20.6x15.6x6.3	20.6	15.6	6.3	20.6	15.6	6.3	0.002024568	2024.568	2.024568	0.337	0.3	10.0	10.0	15.0	15.0	10.0	10.0	0.0015	1500.0	1.5			-0.0163934426229508	-0.2591012008487736	-0.2718446601941748	-0.358974358974359	0.5873015873015873	-0.0145058106223154	2025-05-23 17:57:03	2025-05-28 14:01:06.226	0-0.5kg
25051671E520DA	f9b8185b-6033-4c3d-b20d-c6598c94e2f9	2dc3ca90-577c-406e-b964-50659389f380	3f39626f-11e2-4772-8ccd-977ab0e6ef45	승리의여신 니케 아크릴스탠드 3종선택	勝利の女神ニケアクリルスタンド3種選択	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Acrylic	bungae		"勝利の女神デザート39コラボです未使用キャラクター確認用シンプル開封保護フィルム付新商品ですアクリルスタンド3個（プリバティ、D、ソーダ、レッドフードの中で好きなキャラクター) フォトカード3枚（ランダム) チャットしてくれたら写真を認証します交換返金不可です

승리의여신 디저트39  콜라보입니다
미사용 
캐릭터확인용 단순개봉 보호필름부착 새상품입니다

아크릴스탠드 3개(프리바티,D,소다,레드후드 중 원하는 캐릭터)
포토카드 3개(랜덤)
 
챗팅주시면 사진인증해드립니다

교환환불 불가입니다"			5509311000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/3f39626f-11e2-4772-8ccd-977ab0e6ef45.jpg	1	70000.0	7183.0	https://m.bunjang.co.kr/products/333599836	0.345	24.0x17.0x5.5	24.0	17.0	5.5	24.0	17.0	5.5	0.002244	2244.0	2.244	0.374	0.3	10.0	5.0	15.0	15.0	10.0	5.0	0.00075	750.0	0.75			-0.1304347826086956	-0.6657754010695187	-0.375	-0.4117647058823529	-0.0909090909090909	-0.2925579322638146	2025-05-23 09:23:12	2025-05-31 11:02:41.684	0-0.5kg
2505164B0073EE	0a349055-9faf-4e38-acbd-fb0cf63480e4	7c01c908-5ac9-43d0-8ed4-eb0fc918d6a3	42d4e660-88a6-48ca-b218-c705901a4045	일괄 딸기 가나디 고냐니 키링	バッチイチゴガーナディゴニャニキーリング	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Key ring	bungae		"バッチ5。0ネゴX

일괄 5.0
네고 X"			7326909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/42d4e660-88a6-48ca-b218-c705901a4045.jpg	1	50000.0	5131.0	https://m.bunjang.co.kr/products/333874323?ref=%EC%83%81%EC%A0%90%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88	0.18	20.0x15.9x12.3	20.0	15.9	12.3	20.0	15.9	12.3	0.0039114	3911.4	3.9114	0.652	0.1	5.0	5.0	10.0	10.0	5.0	5.0	0.00025	250.0	0.25			-0.4444444444444444	-0.9360842665030424	-0.5	-0.6855345911949685	-0.5934959349593496	-0.5930101753847727	2025-05-22 10:37:33	2025-05-24 14:03:48.543	0-0.5kg
25042501728C0D	2b86d319-6111-4dfb-8a99-8b3c6d1233de	e0169bce-9053-4d26-be25-82112834831e	3754572d-f62b-46e4-a49d-70ff178631af	주술회전 애니메이트 카페 시부야 쵸소우 유지 아크릴 포토카드 특전 굿즈	呪術回転アニメートカフェ渋谷町蘇維持アクリルフォトカード特典グッズ	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Acrylic	bungae		"📌手数料込みの価格で別途お問い合わせがない場合はすぐにお支払いください。
📌購入後交換＆返金不可
📌店紹介記事を読んだという前提で取引が行われます 

🔥呪術回転アニメートカフェアクリルスタンドチョソウメンテナンスフォトカード一括4.6販売
：未開封です

📌수수료 포함 가격으로 따로 문의사항 없으시면 바로 결제해주시면 됩니다
📌구매 후 교환&환불 불가합니다
📌상점 소개글 읽었다는 전제하에 거래 진행됩니다 

🔥주술회전 애니메이트 카페 아크릴 스탠드 쵸소우 유지 유지 포토카드 일괄 4.6 판매
:미개봉입니다"			5509311000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/3754572d-f62b-46e4-a49d-70ff178631af.jpg	1	47660.0	5032.0	https://m.bunjang.co.kr/products/323062066	0.08	16.0x12.0x10.0	16.0	12.0	10.0	16.0	12.0	10.0	0.00192	1920.0	1.92	0.32	0.1	15.0	0.5	10.0	15.0	10.0	0.5	7.5e-05	75.0	0.075			0.25	-0.9609375	-0.0625	-0.1666666666666666	-0.95	-0.3930555555555555	2025-05-16 18:09:45	2025-05-21 05:04:18.181	0-0.5kg
2504220F84D79A	e6359012-daa4-4b18-91ae-d225ddd031ab	fd2e72a7-9400-477c-b6b9-cdcb8d1ce9d2	cc702add-3af4-4c36-ade5-cf33fd1fa946	가비지타임 피규어 판매	ガベージタイムフィギュア販売	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Toy figure	bungae		"展示だけで状態きれいです パッケージとカードもあります 別途お伝えいただくと一緒に発送いたします GS25 ONLY

전시만 해서 상태 깨끗합니다
패키지와 카드도 있습니다 따로 말해주시면 같이 배송해드려요 

GS25 ONLY"			9503003499	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/cc702add-3af4-4c36-ade5-cf33fd1fa946.jpg	1	11000.0	1162.0	https://m.bunjang.co.kr/products/329173160	0.24	21.7x19.1x9.5	21.7	19.1	9.5	21.7	19.1	9.5	0.003937465	3937.465	3.937465	0.656	0.3	10.0	10.0	15.0	15.0	10.0	10.0	0.0015	1500.0	1.5			0.25	-0.6190442327741326	-0.3087557603686636	-0.4764397905759163	0.0526315789473684	-0.2441879906657371	2025-05-14 09:04:52	2025-05-17 05:02:05.280	0-0.5kg
250502A2415DEA	29d82f91-5186-479f-bfa9-9aedafe4d29e	d499a750-b092-4b67-8705-359445c3eb4f	13ae8d8d-2a35-46d4-9134-c170dbf8e75f	오란고교 타마키 아크릴 +코스터	オラン高校玉木アクリル+コースター	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	Acrylic	bungae		"開封して展示のみしてきれいに見えますが、欠陥に敏感な方Xの後にリンクでご連絡ください！

개봉해서 전시만 해놔서 깨끗해보이긴 하지만
하자에 예민하신분X

뒤에 링크로 연락주세요!"			5509311000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/13ae8d8d-2a35-46d4-9134-c170dbf8e75f.jpg	2	25000.0	2566.0	https://m.bunjang.co.kr/products/312106111	0.3	26.8x20.0x6.8	26.8	20.0	6.8	26.8	20.0	6.8	0.0036447999999999	3644.8	3.6448	0.607	0.3	10.0	10.0	10.0	10.0	10.0	10.0	0.001	1000.0	1.0			0.0	-0.7256365232660228	-0.6268656716417911	-0.5	0.4705882352941177	-0.2187591454492244	2025-05-14 09:04:52	2025-05-17 05:02:05.277	0-0.5kg
